Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,Sector
26.888992236346482,27.066940135134416,26.61639433431876,26.654254913330078,2698800.0,0.0,0.0,AZN,Health care
26.620182734039844,26.635327545842454,25.541140168157046,26.29079246520996,19057200.0,0.0,0.0,AZN,Health care
26.786772541762595,27.305471509314298,26.506600747300624,27.278968811035156,14019600.0,0.0,0.0,AZN,Health care
27.154024742619793,27.275180340542168,26.510383281688124,26.764055252075195,12569600.0,0.0,0.0,AZN,Health care
26.896575927734375,27.34333785613932,26.68076737096289,26.896575927734375,25310400.0,0.0,0.0,AZN,Health care
26.995009692710745,27.218389162252418,25.563855341047397,25.62822151184082,27327600.0,0.0,0.0,AZN,Health care
25.510850303386125,26.597466709186694,25.491921455244928,26.487668991088867,18232800.0,0.0,0.0,AZN,Health care
26.15070788930241,26.570967073412792,25.419987251834414,25.96518898010254,15145800.0,0.0,0.0,AZN,Health care
,,,,,0.95,0.0,AZN,Health care
26.865050506250576,27.238719444366534,26.732711774960745,26.818344116210938,13460600.0,0.0,0.0,AZN,Health care
26.798883910711215,26.83002348704519,25.747948451323893,25.794654846191406,11261600.0,0.0,0.0,AZN,Health care
25.66232027831957,26.253957476799584,25.012297107118137,26.21503448486328,13039200.0,0.0,0.0,AZN,Health care
26.37850531304209,28.414209580001287,26.355152118464403,28.29743766784668,17441400.0,0.0,0.0,AZN,Health care
28.21569818333417,28.258514352642038,27.071347118071532,27.27374839782715,10574800.0,0.0,0.0,AZN,Health care
27.04021001900336,27.30878365656492,26.561448704606672,26.779422760009766,8382800.0,0.0,0.0,AZN,Health care
26.845594662909374,27.452801584642252,26.783315507022106,27.211477279663086,9265000.0,0.0,0.0,AZN,Health care
26.935114940581933,28.29354995860579,26.76385321576337,27.760295867919922,12609400.0,0.0,0.0,AZN,Health care
27.888742628839903,28.56211882656271,27.655201768182476,27.943235397338867,11961800.0,0.0,0.0,AZN,Health care
27.9043121085423,27.95491168741096,26.230597181248168,26.421321868896484,14456400.0,0.0,0.0,AZN,Health care
26.75217590700653,27.351596382403294,25.98927118087139,27.215364456176758,11160000.0,0.0,0.0,AZN,Health care
27.460584068522785,27.5072904591791,26.72103553025494,26.97014617919922,11143800.0,0.0,0.0,AZN,Health care
26.779424034293278,27.19590621849763,26.577019756761494,27.032424926757812,9183400.0,0.0,0.0,AZN,Health care
26.526418063082097,26.84169808345267,26.047656763970092,26.292877197265625,15123200.0,0.0,0.0,AZN,Health care
26.222817090455866,26.394078824250556,25.779088513058724,26.08658218383789,13342800.0,0.0,0.0,AZN,Health care
25.8686074667638,26.043765335218406,25.253614271949406,25.568897247314453,11653600.0,0.0,0.0,AZN,Health care
25.343146825069347,26.10604874657378,25.17966847823995,25.9620304107666,15288600.0,0.0,0.0,AZN,Health care
26.059338466673974,26.429114298817233,25.607826433598238,25.81801414489746,16905200.0,0.0,0.0,AZN,Health care
25.24194109328797,25.600037317387613,24.60748780691794,25.459915161132812,18685000.0,0.0,0.0,AZN,Health care
25.226367294430762,25.89974642954258,24.98893325606896,25.864713668823242,14770200.0,0.0,0.0,AZN,Health care
26.20724382091749,26.518630639858916,26.09436509680005,26.28119659423828,13817200.0,0.0,0.0,AZN,Health care
26.39797038344252,26.460249533436794,25.545543078104135,25.596145629882812,9199000.0,0.0,0.0,AZN,Health care
25.44044825845518,26.483600162674566,25.183551244081144,26.30455207824707,8519500.0,0.0,2.0,AZN,Health care
26.35126279724742,27.005179068100254,26.024306146637763,26.226707458496094,11634100.0,0.0,0.0,AZN,Health care
26.172214257010218,26.60037304139046,25.658423121827234,26.047658920288086,7823000.0,0.0,0.0,AZN,Health care
,,,,,0.45,0.0,AZN,Health care
26.238727720729994,26.822513154705877,24.94493789594555,24.95282554626465,6579400.0,0.0,0.0,AZN,Health care
24.195487016169906,25.015939655120736,23.27247685691109,24.984384536743164,13795900.0,0.0,0.0,AZN,Health care
24.92916086900548,25.765391783199806,24.09292995481115,25.0080509185791,11469800.0,0.0,0.0,AZN,Health care
25.891614235394,26.467509016483167,25.512943818078043,26.27028465270996,10467200.0,0.0,0.0,AZN,Health care
26.215062061394036,27.19329622946626,26.041503658331635,27.114404678344727,16409600.0,0.0,0.0,AZN,Health care
26.98029222109968,27.01973649000705,25.21316068564431,25.52872085571289,15815400.0,0.0,0.0,AZN,Health care
25.583946057914957,25.583946057914957,24.471600707979746,25.331499099731445,12361400.0,0.0,0.0,AZN,Health care
25.370942045948155,25.599723030277303,24.755601489027246,25.426164627075195,14236700.0,0.0,0.0,AZN,Health care
25.386724730449693,25.536614189420536,24.613605452053697,25.520835876464844,12255900.0,0.0,0.0,AZN,Health care
25.449832150218842,25.591833941665126,23.872038647211742,24.739826202392578,14986700.0,0.0,0.0,AZN,Health care
24.716157747704266,25.449831133014925,24.621489388956352,25.157939910888672,10853100.0,0.0,0.0,AZN,Health care
25.15794140611768,25.860059716710182,24.984384493584308,25.31572151184082,14194500.0,0.0,0.0,AZN,Health care
25.01593823271327,25.39460865992859,24.250708222961165,24.684602737426758,12107200.0,0.0,0.0,AZN,Health care
25.29205446496702,27.098627419360675,25.29205446496702,26.88562774658203,31471900.0,0.0,0.0,AZN,Health care
26.940856752432868,27.082858574408196,26.46751634271319,26.86196517944336,13855300.0,0.0,0.0,AZN,Health care
26.972409771677473,27.516751080264964,26.412293158249117,26.75940704345703,20172600.0,0.0,0.0,AZN,Health care
26.92507129406869,27.019738147133275,26.08883889868402,26.2308406829834,16352000.0,0.0,0.0,AZN,Health care
