Company_AZN,Año_AZN,Mes_AZN,Close_AZN,Company_HSBC,Año_HSBC,Mes_HSBC,Close_HSBC,Company_SHEL,Año_SHEL,Mes_SHEL,Close_SHEL,Company_TSCO,Año_TSCO,Mes_TSCO,Close_TSCO,Company_VOD,Año_VOD,Mes_VOD,Close_VOD
AZN,2014,12,26.654258728027344,HSBC,2014,12,31.497812271118164,SHEL,2014,12,44.29562759399414,TSCO,2014,12,71.07939147949219,VOD,2014,12,22.593624114990234
AZN,2015,1,107.23038101196289,HSBC,2015,1,122.70561790466309,SHEL,2015,1,168.80348587036133,TSCO,2015,1,288.9153366088867,VOD,2015,1,92.72482872009277
AZN,2015,2,104.89942741394043,HSBC,2015,2,123.46847152709961,SHEL,2015,2,175.66332626342773,TSCO,2015,2,312.82982635498047,VOD,2015,2,93.8867073059082
AZN,2015,3,134.36029624938965,HSBC,2015,3,145.94714546203613,SHEL,2015,3,201.69015502929688,TSCO,2015,3,393.7683868408203,VOD,2015,3,109.98043060302734
AZN,2015,4,109.3363265991211,HSBC,2015,4,127.64193534851074,SHEL,2015,4,166.89216995239258,TSCO,2015,4,321.46924591064453,VOD,2015,4,91.32393455505371
AZN,2015,5,107.51081657409668,HSBC,2015,5,133.05698776245117,SHEL,2015,5,167.85338592529297,TSCO,2015,5,322.4289321899414,VOD,2015,5,100.34013938903809
AZN,2015,6,128.89542961120605,HSBC,2015,6,161.21478271484375,SHEL,2015,6,198.18380737304688,TSCO,2015,6,414.79612731933594,VOD,2015,6,124.75204467773438
AZN,2015,7,104.0466136932373,HSBC,2015,7,123.33883666992188,SHEL,2015,7,153.69883346557617,TSCO,2015,7,339.8790054321289,VOD,2015,7,101.61352157592773
AZN,2015,8,127.21962356567383,HSBC,2015,8,144.3321990966797,SHEL,2015,8,184.97947311401367,TSCO,2015,8,401.8490447998047,VOD,2015,8,122.61926460266113
AZN,2015,9,104.24491310119629,HSBC,2015,9,107.8842658996582,SHEL,2015,9,136.2556915283203,TSCO,2015,9,316.13077545166016,VOD,2015,9,91.25808525085449
AZN,2015,10,100.84476661682129,HSBC,2015,10,112.19694519042969,SHEL,2015,10,151.1738052368164,TSCO,2015,10,327.7215347290039,VOD,2015,10,89.77678298950195
AZN,2015,11,130.50732231140137,HSBC,2015,11,141.0001277923584,SHEL,2015,11,173.93999099731445,TSCO,2015,11,411.8008346557617,VOD,2015,11,114.92908477783203
AZN,2015,12,105.81482315063477,HSBC,2015,12,111.18802452087402,SHEL,2015,12,127.05606079101562,TSCO,2015,12,316.6037902832031,VOD,2015,12,88.57511329650879
AZN,2016,1,99.44841957092285,HSBC,2016,1,99.67826080322266,SHEL,2016,1,115.49205780029297,TSCO,2016,1,309.0004577636719,VOD,2016,1,88.616943359375
AZN,2016,2,117.84115219116211,HSBC,2016,2,114.67993545532227,SHEL,2016,2,161.74614334106445,TSCO,2016,2,386.92647552490234,VOD,2016,2,106.38077354431152
AZN,2016,3,93.06420707702637,HSBC,2016,3,93.19458389282227,SHEL,2016,3,139.37050247192383,TSCO,2016,3,331.47007751464844,VOD,2016,3,87.89188957214355
AZN,2016,4,96.28118324279785,HSBC,2016,4,93.93283462524414,SHEL,2016,4,148.72520065307617,TSCO,2016,4,336.38511657714844,VOD,2016,4,91.39865112304688
AZN,2016,5,117.89599227905273,HSBC,2016,5,116.82347106933594,SHEL,2016,5,180.24725341796875,TSCO,2016,5,434.53282928466797,VOD,2016,5,116.39209175109863
AZN,2016,6,92.70587158203125,HSBC,2016,6,92.22918128967285,SHEL,2016,6,154.07141494750977,TSCO,2016,6,340.2967529296875,VOD,2016,6,88.0206298828125
AZN,2016,7,102.30792236328125,HSBC,2016,7,94.70259094238281,SHEL,2016,7,158.8662109375,TSCO,2016,7,340.37979888916016,VOD,2016,7,88.5932731628418
AZN,2016,8,137.69841957092285,HSBC,2016,8,135.01015663146973,SHEL,2016,8,185.34776306152344,TSCO,2016,8,396.4684753417969,VOD,2016,8,112.15132522583008
AZN,2016,9,109.64139366149902,HSBC,2016,9,113.14829635620117,SHEL,2016,9,145.56418228149414,TSCO,2016,9,251.97211837768555,VOD,2016,9,84.33883094787598
AZN,2016,10,123.67978477478027,HSBC,2016,10,143.3998031616211,SHEL,2016,10,189.0399169921875,TSCO,2016,10,303.0087890625,VOD,2016,10,100.1451530456543
AZN,2016,11,89.20691108703613,HSBC,2016,11,120.44582748413086,SHEL,2016,11,151.98290634155273,TSCO,2016,11,273.0231170654297,VOD,2016,11,73.55318260192871
AZN,2016,12,90.49438285827637,HSBC,2016,12,125.24014663696289,SHEL,2016,12,164.01678466796875,TSCO,2016,12,283.9547805786133,VOD,2016,12,73.20940208435059
AZN,2017,1,114.75827026367188,HSBC,2017,1,160.15928077697754,SHEL,2017,1,210.09917831420898,TSCO,2017,1,347.43875885009766,VOD,2017,1,93.98344802856445
AZN,2017,2,98.97519493103027,HSBC,2017,2,129.49428176879883,SHEL,2017,2,161.64995956420898,TSCO,2017,2,269.56864166259766,VOD,2017,2,74.3790397644043
AZN,2017,3,104.61503791809082,HSBC,2017,3,127.5605239868164,SHEL,2017,3,162.03461837768555,TSCO,2017,3,262.67469024658203,VOD,2017,3,77.33625221252441
AZN,2017,4,102.70504379272461,HSBC,2017,4,126.75381660461426,SHEL,2017,4,162.07333374023438,TSCO,2017,4,243.21664810180664,VOD,2017,4,76.07097625732422
AZN,2017,5,142.67005348205566,HSBC,2017,5,170.49578857421875,SHEL,2017,5,213.16650009155273,TSCO,2017,5,270.8094596862793,VOD,2017,5,105.88586616516113
AZN,2017,6,117.55867767333984,HSBC,2017,6,140.9661865234375,SHEL,2017,6,168.64432525634766,TSCO,2017,6,205.37283325195312,VOD,2017,6,87.00800704956055
AZN,2017,7,138.2275905609131,HSBC,2017,7,191.6778793334961,SHEL,2017,7,215.67287826538086,TSCO,2017,7,251.6718521118164,VOD,2017,7,112.17055130004883
AZN,2017,8,101.39084815979004,HSBC,2017,8,153.09540176391602,SHEL,2017,8,176.48548889160156,TSCO,2017,8,213.38891983032227,VOD,2017,8,87.95606994628906
AZN,2017,9,114.81022453308105,HSBC,2017,9,155.6553726196289,SHEL,2017,9,187.56291961669922,TSCO,2017,9,233.25704956054688,VOD,2017,9,87.184326171875
AZN,2017,10,148.4455280303955,HSBC,2017,10,197.82766723632812,SHEL,2017,10,246.242919921875,TSCO,2017,10,278.5289421081543,VOD,2017,10,110.02341842651367
AZN,2017,11,115.19982147216797,HSBC,2017,11,158.05999755859375,SHEL,2017,11,203.6525001525879,TSCO,2017,11,244.8383674621582,VOD,2017,11,93.37516403198242
AZN,2017,12,116.16949081420898,HSBC,2017,12,163.91046524047852,SHEL,2017,12,211.8479766845703,TSCO,2017,12,269.62901306152344,VOD,2017,12,98.1084156036377
AZN,2018,1,155.3976879119873,HSBC,2018,1,219.04559326171875,SHEL,2018,1,283.2578811645508,TSCO,2018,1,367.0719985961914,VOD,2018,1,124.1746711730957
AZN,2018,2,118.27798080444336,HSBC,2018,2,167.2285270690918,SHEL,2018,2,207.92024993896484,TSCO,2018,2,249.64587020874023,VOD,2018,2,89.14206314086914
AZN,2018,3,122.43854522705078,HSBC,2018,3,160.0771026611328,SHEL,2018,3,207.52444458007812,TSCO,2018,3,239.24506759643555,VOD,2018,3,87.7722053527832
