,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Company,volumen_escalado
48,2014-12-31,22.89903694934013,22.92559232902126,22.48739690550858,22.593626022338867,6718000.0,0.0,0.0,VOD,0.003927879069888002
49,2015-06-30,610.6916953833567,623.0069403341224,598.8393717136373,613.0080795288086,477280200.0,1.185,0.0,VOD,0.39738654231504555
50,2015-12-31,610.6015884590065,620.9522690530563,596.1995669318216,608.7718715667725,478132900.0,0.556,0.0,VOD,0.39809952394032094
51,2016-06-30,576.5542224354467,592.4211353270639,561.5439589852742,578.7009525299072,515317500.0,1.134,0.0,VOD,0.4291912754862502
52,2016-12-31,534.9919743968571,542.5448232657214,524.7018708232667,531.9911632537842,662795400.0,0.504,0.0,VOD,0.5525043197388549
53,2017-06-30,512.1568838301414,521.3285149984433,505.10285023636516,514.6636066436768,587297800.0,1.123,0.0,VOD,0.4893773095918061
54,2017-12-31,586.3754157619958,594.5925077350648,579.8416747284255,588.817928314209,361155300.0,0.564,0.0,VOD,0.3002891810661446
55,2018-06-30,585.2844766748154,591.789051881932,568.5653390328608,578.9422245025635,460171000.0,1.224,0.0,VOD,0.3830807545548004
56,2018-12-31,479.32058012494576,488.8698796786911,465.7730272669489,474.993447303772,948572900.0,0.545,0.0,VOD,0.791456010154156
57,2019-06-30,376.325237976586,382.99819443160726,367.482201448107,374.4894962310791,574769800.0,0.464,0.0,VOD,0.47890207351645764
58,2019-12-31,445.33589514907146,455.3511484185368,437.7255303529227,448.29162406921387,417248200.0,0.497,0.0,VOD,0.3471910304954959
59,2020-06-30,377.68408734482915,394.714382192388,363.5321420952902,377.9253349304199,493086400.0,0.487,0.0,VOD,0.41060283194261366
60,2020-12-31,365.6287071200857,374.4407099669104,355.46325614371125,363.8572940826416,483300800.0,0.532,0.0,VOD,0.40242064243599407
61,2021-06-30,448.8872390245493,459.1223336762445,438.7431719370152,448.41869735717773,449455500.0,0.549,0.0,VOD,0.37412103295794563
62,2021-12-31,402.8178109329981,410.08500880232987,394.46502288979616,400.76486682891846,577850100.0,0.514,0.0,VOD,0.4814776537912737
63,2022-06-30,334.6499996185303,342.42000007629395,324.3700008392334,332.960000038147,589132940.0,0.0,0.0,VOD,0.4909117544139098
