Date,TSCO
2020-08-24,72.88838958740234
2020-08-31,73.10755920410156
2020-09-07,74.55598449707031
2020-09-14,76.10923767089844
2020-09-21,72.65967559814453
2020-09-28,74.91809844970703
2020-10-05,76.62380981445312
2020-10-12,76.71908569335938
2020-10-19,84.40912628173828
2020-10-26,84.4177474975586
2020-11-02,85.55567932128906
2020-11-09,83.58580017089844
2020-11-12,86.04338073730469
2020-11-16,86.90399932861328
2020-11-23,83.81531524658203
2020-11-30,82.8781967163086
2020-12-07,83.05986785888672
2020-12-14,86.86573028564453
2020-12-17,89.705810546875
2020-12-21,92.88055419921876
2020-12-28,88.60612487792969
2021-01-04,85.39311218261719
2021-01-11,85.39311218261719
2021-01-18,91.28600311279295
2021-01-25,85.20220184326172
2021-02-01,85.5860366821289
2021-02-08,77.08403778076172
2021-02-15,79.84767150878906
2021-02-19,79.01282501220703
2021-02-22,81.8628158569336
2021-03-01,85.86433410644531
2021-03-08,85.97947692871094
2021-03-11,83.45574188232422
2021-03-15,88.58955383300781
2021-03-22,93.63701629638672
2021-03-29,92.15924835205078
2021-04-05,91.41500854492188
2021-04-12,87.01560974121094
2021-04-19,86.12033081054688
2021-04-26,89.2201156616211
2021-05-03,94.11048889160156
2021-05-10,97.35466766357422
2021-05-13,100.35819244384766
2021-05-17,99.2415008544922
2021-05-24,101.20535278320312
2021-05-31,99.99239349365234
2021-06-07,98.88530731201172
2021-06-14,96.92147064208984
2021-06-21,97.36428833007812
2021-06-24,97.36428833007812
2021-06-28,97.35169982910156
2021-07-05,104.87669372558594
2021-07-12,104.87669372558594
2021-07-19,102.52935791015624
2021-07-26,103.12826538085938
2021-08-02,105.09886932373048
2021-08-09,106.7120590209961
2021-08-12,109.12701416015624
2021-08-16,108.64401245117188
2021-08-19,106.20972442626952
2021-08-23,103.41805267333984
2021-08-30,103.9203872680664
2021-09-06,97.1295166015625
2021-09-13,93.5650405883789
2021-09-20,98.75496673583984
2021-09-27,100.36405181884766
2021-10-04,94.12159729003906
2021-10-11,87.6174087524414
2021-10-18,86.27973175048828
2021-10-25,90.25398254394533
2021-11-01,91.41716766357422
2021-11-08,90.4575424194336
2021-11-15,93.501220703125
2021-11-22,92.8420867919922
2021-11-24,91.91152954101562
2021-11-29,95.4689483642578
2021-12-06,94.2282257080078
2021-12-13,91.8753662109375
2021-12-20,91.8753662109375
2021-12-27,94.85227966308594
2022-01-03,92.35206604003906
2022-01-10,89.66702270507812
2022-01-17,89.79348754882812
2022-01-24,89.46270751953125
2022-01-31,88.79146575927734
2022-02-07,90.27017974853516
2022-02-14,91.02899932861328
2022-02-17,90.42584228515624
2022-02-21,93.9280776977539
2022-02-24,95.50408172607422
2022-02-28,97.07036590576172
2022-03-07,86.41191101074219
2022-03-10,89.31150817871094
2022-03-14,74.40347290039062
2022-03-14,81.1301498413086
2022-03-21,77.61548614501953
2022-03-28,86.13854217529297
2022-04-04,90.52210998535156
2022-04-11,99.5625991821289
2022-04-18,99.66999053955078
2022-04-25,104.66864013671876
2022-05-02,109.07172393798828
2022-05-09,109.07172393798828
2022-05-16,109.1986312866211
2022-05-23,119.51148986816406
2022-05-30,119.61924743652344
