AZN,HSBC,SHEL,TSCO,VOD
26.65425682067871,31.4978141784668,44.295631408691406,71.07939147949219,22.59362602233887
26.290794372558594,30.500751495361328,42.47036743164063,72.76374053955078,22.580345153808594
27.27897453308105,30.27322769165039,42.58279037475586,69.66819000244139,22.96542739868164
26.76405906677246,31.33720779418945,43.11185073852539,72.58162689208984,23.8550968170166
26.89657020568848,30.59443473815918,40.63849258422852,73.90182495117188,23.32395362854004
25.62822151184082,31.504505157470703,43.80624008178711,75.50421905517578,23.29739189147949
26.487667083740234,30.86879730224609,43.859153747558594,76.7151107788086,23.801984786987305
,,,,
25.965185165405273,31.23682975769043,44.14321517944336,80.22948455810547,23.841815948486328
,,,,
,,,,
26.81835174560547,29.85834503173828,43.85472869873047,80.3810043334961,22.945512771606445
25.79465675354004,28.647144317626953,40.94985961914063,77.24311065673828,21.88985824584961
,,,,
26.215028762817386,28.43863868713379,38.413978576660156,78.6843490600586,21.491498947143555
28.297443389892575,29.81437492370605,41.27858352661133,81.13810729980469,22.54715347290039
27.27375030517578,29.513227462768555,40.57418441772461,78.60226440429688,22.21518325805664
26.77942085266113,29.53376197814941,40.473548889160156,78.10057067871094,21.83674430847168
27.21147537231445,30.58779525756836,40.07102966308594,79.61478424072266,22.261659622192386
27.76029396057129,30.70415687561035,42.09034729003906,79.35935974121094,22.500675201416016
27.94323921203613,32.65481948852539,42.10376739501953,82.98986053466797,23.37043190002441
26.42132377624512,33.69517135620117,42.62704086303711,79.50531005859375,23.1911678314209
27.21536445617676,33.86629104614258,43.09663391113281,79.286376953125,23.801984786987305
26.97014617919922,33.40770721435547,42.41906356811523,80.70939636230469,24.59206771850586
,,,,
27.03242492675781,32.92859649658203,41.6727409362793,82.76176452636719,26.032794952392575
,,,,
26.29288101196289,32.85439300537109,40.66495895385742,79.67143249511719,25.91328430175781
26.08658218383789,32.633060455322266,39.725284576416016,80.43941497802734,24.59870338439941
25.568904876708984,32.819812774658196,39.50738143920898,82.46003723144531,24.147226333618164
,,,,
25.96202278137207,32.349464416503906,39.86828231811523,84.51720428466797,25.339942932128906
25.818010330200195,32.16272354125977,40.31768798828125,84.80062866210938,25.51139259338379
25.45991516113281,31.249713897705078,38.76518630981445,82.57889556884766,25.15478134155273
25.86471748352051,30.34363174438477,38.703895568847656,83.33773040771484,25.003908157348636
26.28120231628418,31.33963394165039,38.826454162597656,86.40061950683594,25.38795280456543
25.59614562988281,30.481956481933594,37.02880859375,85.55032348632812,25.31251335144043
26.304555892944336,31.17362976074219,39.13968276977539,84.5903091430664,25.90915298461914
26.226703643798828,31.46413803100586,39.60271453857422,83.8405990600586,25.86114501953125
26.04765701293945,30.267539978027344,38.438323974609375,85.12060546875,25.73770523071289
,,,,
24.95282554626465,28.340166091918945,36.2850341796875,78.4233627319336,23.87921142578125
24.98438262939453,27.90653419494629,36.39573287963867,78.24011993408203,23.89978408813477
25.00805282592773,26.35383033752441,34.257652282714844,76.22431182861328,23.24142646789551
26.27028465270996,27.36098289489746,34.78352737426758,80.59492492675781,23.790061950683594
27.11440467834473,26.66857147216797,34.264583587646484,79.0464096069336,23.09054946899414
25.528722763061523,26.61960601806641,32.72849273681641,76.93901062011719,22.50762939453125
25.331499099731445,27.235088348388672,34.479087829589844,79.55036926269531,21.86984634399414
25.426166534423828,28.37513542175293,38.24320602416992,82.13424682617188,22.164735794067386
25.52083396911621,28.23525238037109,38.99049377441406,78.0751724243164,22.1098747253418
24.739826202392575,27.913516998291016,37.64122772216797,82.85810089111328,22.89167594909668
25.15794563293457,27.67305564880371,36.29887390136719,84.65398406982422,22.61050033569336
25.31572151184082,28.23261070251465,36.07052612304688,85.56108093261719,22.39790153503418
24.68460273742676,27.56680679321289,33.448104858398445,78.0660171508789,22.84366607666016
26.885631561279297,28.55134010314941,35.00912857055664,83.38877868652344,23.19342041015625
,,,,
26.861957550048828,28.416763305664066,35.28395462036133,83.93976593017578,23.571231842041016
26.75940132141113,28.23261070251465,34.128257751464844,80.84515380859375,22.9228630065918
26.230846405029297,26.823102951049805,31.387004852294922,80.71659851074219,21.96774673461914
25.875835418701172,27.82179069519043,30.80210876464844,78.70557403564453,21.76556396484375
26.92507362365723,28.586753845214844,32.599075317382805,78.66883850097656,22.35118865966797
26.7830753326416,27.95637321472168,32.267879486083984,78.51274871826172,22.49061584472656
25.063274383544922,25.604835510253906,28.455486297607425,75.17019653320312,22.685827255249023
