,año_empresa,min,max,mean
0,2020_AZN,1213.2170295715332,1346.7878684997559,1280.0024490356445
1,2020_HSBC,556.5237350463867,704.9198341369629,630.7217845916748
2,2020_SHEL,760.6175231933594,954.665843963623,857.6416835784912
3,2020_TSCO,2566.060256958008,3621.7552795410156,3093.9077682495117
4,2020_VOD,363.8572940826416,377.9253349304199,370.89131450653076
5,2021_AZN,1334.9209899902344,1488.4256286621094,1411.6733093261719
6,2021_HSBC,710.8624267578125,731.6558246612549,721.2591257095337
7,2021_SHEL,1009.9082450866699,1096.515480041504,1053.211862564087
8,2021_TSCO,4436.34147644043,5376.658111572266,4906.499794006348
9,2021_VOD,400.76486682891846,448.41869735717773,424.5917820930481
10,2022_AZN,1236.430404663086,1236.430404663086,1236.430404663086
11,2022_HSBC,665.5342330932617,665.5342330932617,665.5342330932617
12,2022_SHEL,1013.5350036621094,1013.5350036621094,1013.5350036621094
13,2022_TSCO,4327.40657043457,4327.40657043457,4327.40657043457
14,2022_VOD,332.960000038147,332.960000038147,332.960000038147
