,Date,AZN,HSBC,SHEL,TSCO,VOD
0,2014-12-31,26.65425682067871,31.4978141784668,44.295631408691406,71.07939147949219,22.593626022338867
1,2015-06-30,692.2327079772949,814.0349521636963,1079.0863990783691,2054.2080688476562,613.0080795288086
2,2015-12-31,672.678071975708,739.9404220581055,927.103832244873,2113.9847564697266,608.7718715667725
3,2016-06-30,617.2368392944336,610.5382289886475,899.6526031494141,2138.611618041992,578.7009525299072
4,2016-12-31,653.02880859375,731.9468307495117,994.8177947998047,1848.8070983886719,531.9911632537842
5,2017-06-30,681.2822666168213,855.4298801422119,1077.667854309082,1599.0810623168945,514.6636066436768
6,2017-12-31,734.2435073852539,1020.2267875671387,1241.4646911621094,1491.3141593933105,588.817928314209
7,2018-06-30,812.6385173797607,1073.2342643737793,1448.293384552002,1720.0252799987793,578.9422245025635
8,2018-12-31,931.6876258850098,989.0208358764648,1463.4379692077637,2226.8326721191406,474.993447303772
9,2019-06-30,898.7711486816406,909.3517990112305,1376.9190673828125,2363.7378005981445,374.4894962310791
10,2019-12-31,1143.2144889831543,931.7331218719482,1430.696922302246,2583.947196960449,448.29162406921387
11,2020-06-30,1213.2170295715332,704.9198341369629,954.665843963623,2566.060256958008,377.9253349304199
12,2020-12-31,1346.7878684997559,556.5237350463867,760.6175231933594,3621.7552795410156,363.8572940826416
13,2021-06-30,1334.9209899902344,731.6558246612549,1009.9082450866699,4436.34147644043,448.41869735717773
14,2021-12-31,1488.4256286621094,710.8624267578125,1096.515480041504,5376.658111572266,400.76486682891846
15,2022-06-30,1236.430404663086,665.5342330932617,1013.5350036621094,4327.40657043457,332.960000038147
